ods_code,care,numtreat_total,numtreat_less62days,numtreat_more62days,percenttreat_62days,wait_within31,wait_32to38,wait_39to48,wait_49to62,wait_63to76,wait_77to90,wait_91to104,wait_104plus,observed_deaths,expected_deaths,shmi_ind,patient_admissions,beds_day,beds_night,_Chemical_pathology,_Clinical_oncology,_Clinical_radiology,_General_pathology,_Haematology,_Histopathology,_Medical_oncology,hee_region_code,_admin_supp_DNM,_admin_supp_STT,_management_staff,_nursing_staff,_stt_staff,ytd_plan,ytd_actual,hospitalN,rating_Q12,rating_Q16,rating_Q17,rating_Q25,rating_Q31,rating_Q55,rating_Q56,rating_Q59,rating_Q6,planactual_diff,ytd_plan_miss,deficit,regions,nhs_trust,oncology_staff,cat_numtreat_total,cat_patient_admissions,cat_beds_day,cat_beds_night,cat__Chemical_pathology,cat__Clinical_oncology,cat__Clinical_radiology,cat__General_pathology,cat__Haematology,cat__Histopathology,cat__Medical_oncology,cat__admin_supp_DNM,cat__admin_supp_STT,cat__management_staff,cat__nursing_staff,cat__stt_staff,cat_oncology_staff
REF,ALL CARE,385.5,340,45.5,.882,202,32,37,69,11,8,10.5,16,307,297.17279,Above expected,10495,98.36666666666666,742.4666666666667,0,16.15,23.799999,0,0,10.91,2.6500001,YDF33,1069.4651,94.248505,0,993.4707,131.70734,-3677,-929,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2748,Performed better or as expected financially,In deficit, South West,ROYAL CORNWALL HOSPITALS NHS TRUST,53.509998,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,None,Much higher than average,Slightly higher than average,None,None,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,Slightly higher than average
REM,ALL CARE,189,150.5,38.5,.7963,32.5,26.5,34.5,57,10.5,11.5,8.5,8,386,308.54041,Above expected,9520,123.5444444444445,742.8,0,0,35.299999,0,6.4000001,0,0,YDF31,947.3175,117.18668,41.53838,1066.5417,104.02081,1285,2206,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,921,Performed better or as expected financially,Not in deficit, North West,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,41.700001,Slightly lower than average,Slightly higher than average,Much higher than average,Slightly higher than average,None,None,Slightly higher than average,None,Slightly higher than average,None,None,Slightly lower than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
RF4,ALL CARE,393.5,301,92.5,.7648999999999999,84.5,43.5,67.5,105.5,13.5,16,18,45,387,411.6297,Lower than expected,12787,91.48888888888889,905.7555555555556,0,14.787499,35.549,0,13.7,0,0,YDF28,1248.5371,178.48601,32.693329,1429.2181,196.37349,-11900,-10874,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1026,Performed better or as expected financially,In deficit, North Central and East London,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",64.036499,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,None,Much higher than average,Slightly higher than average,None,Much higher than average,None,None,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average
RFF,ALL CARE,120.5,107.5,13,.8920999999999999,44,14,27.5,22,7,2.5,1.5,2,143,140.91861,Above expected,5796,76,351,0,0,0,0,0,4.4000001,0,YDF23,620.4375,43.273331,34.493332,653.58337,70.236671,-8024,-6514,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1510,Performed better or as expected financially,In deficit, Yorkshire and the Humber,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,4.4000001,Much lower than average,Slightly lower than average,Slightly higher than average,Much lower than average,None,None,None,None,None,Slightly higher than average,None,Slightly lower than average,Much lower than average,Much higher than average,Slightly lower than average,Slightly lower than average,Much lower than average
RFR,ALL CARE,129,109.5,19.5,.8488,54,9,22,24.5,6.5,2.5,4.5,6,122,107.9125,Above expected,6730,103.2222222222222,453.5,0,0,6.8000002,0,4.5,0,0,YDF23,741.90576,137.45123,14.7616,656.33942,73.422653,6653,-6503,1,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,150,Did not financially perform as expected,In deficit, Yorkshire and the Humber,THE ROTHERHAM NHS FOUNDATION TRUST,11.3,Much lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,None,None,Much lower than average,None,Slightly higher than average,None,None,Slightly lower than average,Much higher than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Much lower than average
RFS,ALL CARE,212,163,49,.7689,51,21.5,34,56.5,19,15,7.5,7.5,190,200.06531,Lower than expected,5324,0,517.1555555555556,1,0,11.14,0,4.8800001,5.1999998,0,YDF21,684.27997,80.959999,0,666.33002,64.510002,7066,7790,1,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,724,Performed better or as expected financially,Not in deficit, East Midlands,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,22.220001,Slightly lower than average,Slightly lower than average,None,Slightly lower than average,Much higher than average,None,Much lower than average,None,Slightly higher than average,Slightly higher than average,None,Slightly lower than average,Slightly lower than average,None,Slightly lower than average,Slightly lower than average,Slightly lower than average
RGN,ALL CARE,252,217.5,34.5,.8631,67.5,25,48,77,9,11.5,5.5,8.5,277,243.1624,Above expected,7951,72.53333333333333,595.3444444444444,0,0,15.25,0,6.3999996,0,10.375,YDF22,1137.307,117.5359,20.504169,1369.5151,145.76801,-20150,-17672,4,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,2478,Performed better or as expected financially,In deficit, East of England,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,32.025002,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,None,None,Slightly lower than average,None,Slightly higher than average,None,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly lower than average
RGP,ALL CARE,168,144.5,23.5,.8601000000000001,61,11,27.5,45,11.5,4,4.5,3.5,256,231.5979,Above expected,6327,80.37777777777778,430.3222222222222,-99,-99,-99,-99,-99,-99,-99,,531.9624,44.52,0,649.71765,63.492012,2374,4088,3,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1714,Performed better or as expected financially,Not in deficit,,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,Slightly lower than average,Slightly lower than average,Slightly higher than average,Much lower than average,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Much lower than average,Much lower than average,None,Slightly lower than average,Slightly lower than average,None
RGQ,ALL CARE,292,244,48,.8356,86,43,54.5,60.5,19.5,9,8.5,11,224,213.8506,Above expected,8350,56.04444444444444,593.6444444444444,0,14.799999,0,0,6.3499999,8.4312496,0,YDF22,832.72516,130.44762,0,829.28735,131.48668,-20108,-17500,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2608,Performed better or as expected financially,In deficit, East of England,IPSWICH HOSPITAL NHS TRUST,29.581249,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,None,Much higher than average,None,None,Slightly higher than average,Slightly higher than average,None,Slightly lower than average,Much higher than average,None,Slightly lower than average,Slightly higher than average,Slightly lower than average
RGR,ALL CARE,208.5,177,31.5,.8489,49,22.5,45.5,60,16,8,5,2.5,191,188.28931,Above expected,8344,0,459.9555555555556,0,0,12.06364,0,0,5.3000002,4.9875002,YDF22,657.18018,39.947998,0,687.65448,74.931007,-5000,-3684,4,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1316,Performed better or as expected financially,In deficit, East of England,WEST SUFFOLK NHS FOUNDATION TRUST,22.351139,Slightly lower than average,Slightly higher than average,None,Slightly lower than average,None,None,Much lower than average,None,None,Slightly higher than average,Much higher than average,Slightly lower than average,Much lower than average,None,Slightly lower than average,Slightly lower than average,Slightly lower than average
RGT,ALL CARE,350.5,286,64.5,.816,115.5,48,42.5,80,16,20.5,12,16,314,468.1026,Lower than expected,11980,234.0666666666667,955.4444444444445,5.5039997,36.666801,62.4585,0,27.316999,42.57275,12.252501,YDF22,1512.1896,241.75256,63.206661,2177.6025,249.82225,-56333,-52721,4,Performed as expected,Performed worse than expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,3612,Performed better or as expected financially,In deficit, East of England,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,186.77155,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RH8,ALL CARE,463,367.5,95.5,.7937000000000001,160.5,68,59,80,33,26,12.5,24,208,224.73291,Lower than expected,10752,157.2222222222222,904.6666666666666,0,13.125,16.709999,0,8.0749998,16.475,0,YDF33,1543.7209,207.59962,24.039999,1389.7491,127.03922,-6390,-2334,2,Performed worse than expected,Performed worse than expected,Performed as expected,Performed worse than expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,Performed worse than expected,4056,Performed better or as expected financially,In deficit, South West,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,54.384998,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,None,Slightly higher than average,Slightly lower than average,None,Slightly higher than average,Much higher than average,None,Much higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
RHM,ALL CARE,444,349,95,.7859999999999999,113,45.5,71.5,119,33.5,18,18,25.5,708,677.20477,Above expected,11371,97.44444444444444,1099.444444444444,0,26.425001,73.474998,0,24.150002,28.375,27.275,YDF24,2071.2253,70.85334,102.76694,2330.3394,237.34802,16280,20520,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,4240,Performed better or as expected financially,Not in deficit, Wessex,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,179.7,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly lower than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RHQ,ALL CARE,530,419,111,.7906,140,57.5,87.5,134,38.5,29.5,18.5,24.5,699,743.80402,Lower than expected,22714,214.0444444444445,1570.233333333333,6.6999998,44.886379,74.800003,0,19.9,28.4,6.3000002,YDF23,3185.1775,284.84375,60.321327,2888.1487,297.55444,5000,12711,4,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,7711,Performed better or as expected financially,Not in deficit, Yorkshire and the Humber,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,180.98639,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RHU,ALL CARE,368.5,317.5,51,.8615999999999999,98,31,56,132.5,23.5,13,6,8.5,369,318.6763,Above expected,11777,71.26666666666667,1007.322222222222,0,32.174999,42.131001,0,7.25,19.875,0,YDF24,1267.0964,350.4628,43.73333,1707.8154,190.09334,1200,-17645,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,16445,Did not financially perform as expected,In deficit, Wessex,PORTSMOUTH HOSPITALS NHS TRUST,101.431,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Slightly higher than average,Much higher than average,None,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RHW,ALL CARE,305.5,263,42.5,.8609,95.5,31.5,48,88,13.5,12.5,5,11.5,226,228.7453,Lower than expected,11325,152.2333333333333,646.8888888888889,0,20.799999,19.175001,0,13.05,11,0,YDF25,969.99091,95.386658,23.440001,1174.9081,141.0779,4806,6038,1,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,1232,Performed better or as expected financially,Not in deficit, Thames Valley,ROYAL BERKSHIRE NHS FOUNDATION TRUST,64.025002,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,None,Much higher than average,Slightly lower than average,None,Much higher than average,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
RJ1,ALL CARE,326,218.5,107.5,.6701999999999999,60.5,19,43.5,95.5,29,32.5,17.5,28.5,421,580.55719,Lower than expected,21130,129.2777777777778,1001.711111111111,0,38.899998,66,0,39.450001,34,27.4,YDF27,1783.3662,103.98121,59.73333,2895.3721,374.17319,6516,43832,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,37316,Performed better or as expected financially,Not in deficit, South London,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,205.75,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RJ2,ALL CARE,218.5,171.5,47,.7848999999999999,57.5,30.5,31,52.5,16,12,11,8,133,168.312,Lower than expected,10785,85.56666666666666,888,0,.69999999,19.049999,0,15.9,8.6000004,0,YDF27,1029.5763,92.798126,37.40667,1294.2345,100.36694,-20200,-20054,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,146,Performed better or as expected financially,In deficit, South London,LEWISHAM AND GREENWICH NHS TRUST,44.25,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,None,Slightly higher than average,Slightly lower than average,None,Much higher than average,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average
RJ6,ALL CARE,177,160,17,.904,57,30.5,23,49.5,7,4.5,2,3.5,62,64.5364,Lower than expected,6098,39.82222222222222,489.0666666666667,0,0,15.5,1.4,7.4000001,0,0,YDF27,666.05109,82.17308,12,632.1908,49.128269,-25482,-23787,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1695,Performed better or as expected financially,In deficit, South London,CROYDON HEALTH SERVICES NHS TRUST,24.299999,Slightly lower than average,Slightly lower than average,Much lower than average,Slightly lower than average,None,None,Slightly lower than average,Much higher than average,Slightly higher than average,None,None,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Much lower than average,Slightly lower than average
RJ7,ALL CARE,203.5,174,29.5,.855,60,17,40,57,10.5,8.5,4,6.5,264,333.82339,Lower than expected,10935,63.35555555555555,932.4111111111112,0,0,74.025002,0,20.200001,22,0,YDF27,1406.7415,181.04213,15.96,1951.9954,180.02937,-16851,-73942,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,Performed worse than expected,57091,Did not financially perform as expected,In deficit, South London,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,116.22501,Slightly lower than average,Slightly higher than average,Slightly lower than average,Much higher than average,None,None,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Slightly lower than average,Much higher than average,Much higher than average,Much higher than average
RJC,ALL CARE,152,125.5,26.5,.8256999999999999,41,14.5,33,37,12.5,7,5.5,1.5,100,72.963799,Above expected,5307,87.28888888888889,457.8333333333333,0,0,10.35,0,0,0,0,YDF32,758.10559,75.908524,7.8533301,611.90594,40.066132,7993,9656,4,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed worse than expected,Performed as expected,1663,Performed better or as expected financially,Not in deficit, West Midlands,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,10.35,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,None,None,Much lower than average,None,None,None,None,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Much lower than average,Much lower than average
RJE,ALL CARE,541.5,378.5,163,.6990000000000001,112,38,72,156.5,52.5,47.5,21.5,41.5,535,440.0867,Above expected,16508,167.2888888888889,1273,0,21.35,59.866249,0,22.65,23.699999,0,YDF32,2382.5037,130.39761,13.6,2371.9167,235.60001,698,-27773,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,27075,Did not financially perform as expected,In deficit, West Midlands,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,127.56625,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Slightly lower than average,Much higher than average,Much higher than average,Much higher than average
RJF,ALL CARE,140,108.5,31.5,.775,41,15.5,26.5,25.5,9,13,4.5,5,145,143.1134,Above expected,6236,40.67777777777778,479.9333333333333,-99,-99,-99,-99,-99,-99,-99,,618.20258,55.730148,16.373341,656.31989,59.92506,-9885,-7815,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2070,Performed better or as expected financially,In deficit,,BURTON HOSPITALS NHS FOUNDATION TRUST,,Much lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Much lower than average,None
RJL,ALL CARE,253,195.5,57.5,.7726999999999999,51,27.5,33.5,83.5,13.5,18,16,10,262,239.8091,Above expected,10048,75.83333333333333,761.9777777777778,0,0,11.433,0,4.4997001,0,0,YDF23,1178.5099,99.34053,33.73333,978.8418,114.97999,-11986,-30288,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,18302,Did not financially perform as expected,In deficit, Yorkshire and the Humber,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,15.932699,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,None,None,Much lower than average,None,Slightly higher than average,None,None,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Much lower than average
RJN,ALL CARE,110,95,15,.8636,33,17,14.5,30.5,6,2.5,5,1.5,83,79.639,Above expected,4198,47.26666666666667,337.7888888888889,0,0,12.45,0,0,0,0,YDF31,543.88721,49.274761,13.26666,416.37186,41.756279,-19600,-14960,3,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,4640,Performed better or as expected financially,In deficit, North West,EAST CHESHIRE NHS TRUST,12.45,Much lower than average,Much lower than average,Slightly lower than average,Much lower than average,None,None,Much lower than average,None,None,None,None,Much lower than average,Much lower than average,Slightly lower than average,Much lower than average,Much lower than average,Much lower than average
RJR,ALL CARE,177.5,156,21.5,.8789,57.5,28.5,24,46,6.5,2,3.5,9.5,102,107.7897,Lower than expected,4759,15.64444444444444,514,0,0,20.225,0,0,7.5,0,YDF31,834.13983,69.106392,21.380001,771.33026,77.107613,-3949,-3500,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,449,Performed better or as expected financially,In deficit, North West,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,27.725,Slightly lower than average,Much lower than average,Much lower than average,Slightly lower than average,None,None,Slightly higher than average,None,None,Slightly higher than average,None,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly lower than average
RJZ,ALL CARE,329,272,57,.8267,91,31.5,62.5,87,20,16,7.5,13.5,343,423.36819,Lower than expected,18837,226.9222222222222,1248.255555555556,0,0,70.400002,0,61.362503,35.700001,0,YDF27,2200.2329,115.77825,45.76693,2989.6301,193.39984,-1600,-59617,4,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,58017,Did not financially perform as expected,In deficit, South London,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,167.46251,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,None,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RK5,ALL CARE,223.5,193,30.5,.8634999999999999,59,36.5,32.5,65,10.5,11.5,2.5,6,206,201.96651,Above expected,9386,41.68888888888889,607.1555555555556,0,0,9.8999996,0,6,4.0999999,0,YDF21,1077.248,76.482811,0,898.94263,77.860001,-57018,-48288,3,Performed better than expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,8730,Performed better or as expected financially,In deficit, East Midlands,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,20,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,None,None,Much lower than average,None,Slightly higher than average,Slightly higher than average,None,Slightly higher than average,Slightly lower than average,None,Slightly lower than average,Slightly lower than average,Much lower than average
RK9,ALL CARE,485,377.5,107.5,.7784,170,50,60.5,97,30.5,32.5,16,28.5,264,284.90161,Lower than expected,9931,74,876.4333333333333,0,21.879999,92.389999,0,0,17.879999,0,YDF33,1298.5791,99.88063,10.04,1326.9049,150.87289,-35600,-39900,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,4300,Did not financially perform as expected,In deficit, South West,PLYMOUTH HOSPITALS NHS TRUST,132.14999,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,None,Much higher than average,Much higher than average,None,None,Much higher than average,None,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly higher than average,Much higher than average
RKB,ALL CARE,322.5,265,57.5,.8217,68,19,54.5,123.5,24.5,15,7,11,390,346.83099,Above expected,13469,82.48888888888889,1117.522222222222,0,18.398861,38.950001,5.6599998,0,0,10.825,YDF32,1453.7671,137.67957,79.613319,1740.043,208.80881,1100,946,2,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,154,Did not financially perform as expected,Not in deficit, West Midlands,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,73.833862,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,None,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RKE,ALL CARE,76,69,7,.9079,41,3,7,18,3,2.5,1,.5,29,32.342602,Lower than expected,3757,48.04444444444444,279.4333333333333,0,0,18.609089,0,0,0,2.5999999,YDF28,446.46228,40.416271,26.217779,480.93341,47.894661,-6400,-3670,3,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2730,Performed better or as expected financially,In deficit, North Central and East London,THE WHITTINGTON HOSPITAL NHS TRUST,21.209089,Much lower than average,Much lower than average,Slightly lower than average,Much lower than average,None,None,Slightly lower than average,None,None,None,Slightly higher than average,Much lower than average,Much lower than average,Slightly higher than average,Much lower than average,Much lower than average,Slightly lower than average
RL4,ALL CARE,263,209.5,53.5,.7966,72,19.5,43.5,74.5,16,15,8,14.5,288,351.14331,Lower than expected,9420,118.0444444444445,866,0,13.875,27.75,0,14.25,0,0,YDF32,1560.7935,124.43797,28.33333,1456.6476,170.78615,7082,8542,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1460,Performed better or as expected financially,Not in deficit, West Midlands,THE ROYAL WOLVERHAMPTON NHS TRUST,55.875,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,None,Much higher than average,None,None,Much higher than average,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly higher than average
RLN,ALL CARE,232,193.5,38.5,.8341,64.5,33,44.5,51.5,16.5,10.5,2.5,9,221,251.802,Lower than expected,12313,0,725.9,0,0,18.15,0,11.85,0,0,YDF30,999.53308,39.16,21.040001,1190.4784,79.714531,-2167,5901,4,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,3734,Performed better or as expected financially,Not in deficit, North East,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,30,Slightly higher than average,Much higher than average,None,Slightly higher than average,None,None,Slightly lower than average,None,Much higher than average,None,None,Slightly higher than average,Much lower than average,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly lower than average
RLQ,ALL CARE,148,119,29,.8040999999999999,50.5,15,19.5,34,14,5,5.5,4.5,85,77.5065,Above expected,4384,14.44444444444445,268.7222222222222,-99,-99,-99,-99,-99,-99,-99,,591.80798,81.845612,7,510.65207,43.919991,-28500,-37204,4,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,8704,Did not financially perform as expected,In deficit,,WYE VALLEY NHS TRUST,,Slightly lower than average,Much lower than average,Much lower than average,Much lower than average,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Much lower than average,Slightly lower than average,Slightly lower than average,Much lower than average,Much lower than average,None
RLT,ALL CARE,87.5,69.5,18,.7943000000000001,19,9.5,16.5,24.5,5.5,3.5,1.5,7.5,108,78.899101,Above expected,4477,12.16666666666667,323.7555555555555,-99,-99,-99,-99,-99,-99,-99,,415.59018,67.300011,2.6399999,434.58148,45.14267,-14715,-13770,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,945,Performed better or as expected financially,In deficit,,GEORGE ELIOT HOSPITAL NHS TRUST,,Much lower than average,Much lower than average,Much lower than average,Much lower than average,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Much lower than average,Slightly lower than average,Much lower than average,Much lower than average,Much lower than average,None
